datetime,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-11-10 02:00:00,8.8,-7.8,30.0,0.0,,8.0,9.0,,1030.0,,1.0
2024-11-10 03:00:00,7.8,-7.5,33.0,0.0,,60.0,11.0,,1030.0,,2.0
2024-11-10 04:00:00,7.8,-7.1,34.0,0.0,,40.0,9.4,,1030.0,,3.0
2024-11-10 05:00:00,7.8,-4.3,42.0,0.0,,39.0,8.6,,1030.0,,1.0
2024-11-10 06:00:00,7.8,-4.3,42.0,0.0,,120.0,7.0,,1030.0,,2.0
2024-11-10 07:00:00,3.3,-1.1,73.0,0.0,,17.0,7.9,,1029.2,,1.0
2024-11-10 08:00:00,7.8,-3.4,45.0,0.0,,10.0,7.2,,1029.0,,3.0
2024-11-10 09:00:00,7.8,-3.4,45.0,0.0,,110.0,6.0,,1029.0,,3.0
2024-11-10 10:00:00,7.8,-3.1,46.0,0.0,,120.0,6.0,,1028.0,,3.0
2024-11-10 11:00:00,7.8,-1.7,51.0,0.0,,130.0,6.0,,1028.0,,3.0
2024-11-10 12:00:00,9.8,-1.3,46.0,0.0,,9.0,4.7,,1027.0,,3.0
2024-11-10 13:00:00,11.8,-1.4,40.0,0.0,,283.0,6.0,,1027.0,,3.0
2024-11-10 14:00:00,12.8,-3.9,31.0,0.0,,206.0,7.0,,1027.0,,3.0
2024-11-10 15:00:00,12.8,-2.7,34.0,0.0,,216.0,7.0,,1026.0,,3.0
2024-11-10 16:00:00,12.8,-3.1,33.0,0.0,,208.0,18.0,,1025.0,,3.0
2024-11-10 17:00:00,12.8,-2.3,35.0,0.0,,240.0,11.0,,1024.0,,3.0
2024-11-10 18:00:00,13.8,-1.0,36.0,0.0,,220.0,6.0,,1023.0,,3.0
2024-11-10 19:00:00,13.8,-0.7,37.0,0.0,,214.0,7.0,,1022.0,,3.0
2024-11-10 20:00:00,13.8,0.4,40.0,0.0,,211.0,7.0,,1021.0,,3.0
2024-11-10 21:00:00,13.8,1.1,42.0,0.0,,220.0,15.0,,1020.0,,3.0
2024-11-10 22:00:00,12.8,1.7,47.0,0.0,,220.0,6.0,,1020.0,,3.0
2024-11-10 23:00:00,13.8,3.8,51.0,0.0,,206.0,15.8,,1019.0,,3.0
2024-11-11 00:00:00,13.8,5.4,57.0,0.2,,201.0,16.9,,1017.0,,7.0
2024-11-11 01:00:00,13.8,8.4,70.0,0.3,,202.0,17.6,,1016.0,,8.0
2024-11-11 02:00:00,13.8,9.8,77.0,0.4,,180.0,7.0,,1015.0,,8.0
2024-11-11 03:00:00,13.8,10.6,81.0,0.6,,211.0,7.0,,1015.0,,8.0
2024-11-11 04:00:00,12.8,11.2,90.0,0.4,,210.0,20.9,,1014.0,,8.0
2024-11-11 05:00:00,12.8,11.0,89.0,1.1,,221.0,25.9,,1012.0,,5.0
2024-11-11 06:00:00,12.8,11.2,90.0,0.4,,240.0,9.0,,1011.0,,8.0
2024-11-11 07:00:00,13.8,12.2,90.0,1.8,,225.0,7.0,,1010.0,,9.0
2024-11-11 08:00:00,13.8,12.2,90.0,1.3,,229.0,27.0,,1009.0,,9.0
2024-11-11 09:00:00,13.8,12.2,90.0,1.4,,234.0,11.0,,1009.0,,9.0
2024-11-11 10:00:00,13.8,12.2,90.0,0.2,,236.0,7.0,,1009.0,,7.0
2024-11-11 11:00:00,14.8,12.7,87.0,0.0,,236.0,6.0,,1009.0,,3.0
2024-11-11 12:00:00,15.8,12.9,83.0,0.0,,230.0,7.0,,1009.0,,3.0
2024-11-11 13:00:00,15.8,12.3,80.0,0.0,,250.0,15.0,,1009.0,,3.0
2024-11-11 14:00:00,15.8,11.4,75.0,0.0,,252.0,9.0,,1009.0,,3.0
2024-11-11 15:00:00,16.8,11.7,72.0,0.0,,260.0,11.0,,1009.0,,3.0
2024-11-11 16:00:00,18.8,9.3,54.0,0.0,,250.0,15.0,,1007.0,,3.0
2024-11-11 17:00:00,18.8,7.8,49.0,0.0,,250.0,22.0,,1006.0,,1.0
2024-11-11 18:00:00,18.8,6.6,45.0,0.0,,259.0,11.0,,1006.0,,1.0
2024-11-11 19:00:00,18.8,6.6,45.0,0.0,,270.0,13.0,,1005.0,,1.0
2024-11-11 20:00:00,18.8,5.9,43.0,0.0,,261.0,21.6,,1005.0,,1.0
2024-11-11 21:00:00,17.8,4.0,40.0,0.0,,270.0,11.0,,1005.0,,1.0
2024-11-11 22:00:00,16.8,4.1,43.0,0.0,,264.0,11.0,,1006.0,,1.0
2024-11-11 23:00:00,15.8,4.8,48.0,0.0,,261.0,11.0,,1007.0,,1.0
2024-11-12 00:00:00,15.8,4.2,46.0,0.0,,274.0,7.0,,1008.0,,1.0
2024-11-12 01:00:00,14.8,3.6,47.0,0.0,,270.0,9.0,,1008.0,,1.0
2024-11-12 02:00:00,14.8,4.2,49.0,0.0,,297.0,7.0,,1007.0,,1.0
2024-11-12 03:00:00,15.8,4.5,47.0,0.0,,220.0,9.0,,1007.0,,1.0
2024-11-12 04:00:00,13.8,3.8,51.0,0.0,,255.0,11.5,,1008.0,,1.0
2024-11-12 05:00:00,13.8,4.4,53.0,0.0,,262.0,16.6,,1008.0,,1.0
2024-11-12 06:00:00,12.8,4.0,55.0,0.0,,268.0,17.3,,1009.0,,1.0
2024-11-12 07:00:00,11.8,4.0,59.0,0.0,,300.0,15.0,,1009.0,,2.0
2024-11-12 08:00:00,10.8,1.8,54.0,0.0,,300.0,20.0,,1010.0,,1.0
2024-11-12 09:00:00,9.8,0.4,52.0,0.0,,280.0,19.0,,1011.0,,1.0
2024-11-12 10:00:00,9.8,0.9,54.0,0.0,,280.0,20.0,,1013.0,,1.0
2024-11-12 11:00:00,9.8,0.9,54.0,0.0,,306.0,11.0,,1013.0,,1.0
2024-11-12 12:00:00,9.8,0.4,52.0,0.0,,300.0,13.0,,1014.0,,2.0
2024-11-12 13:00:00,10.8,-0.4,46.0,0.0,,324.0,29.2,,1015.0,,2.0
2024-11-12 14:00:00,10.8,-1.6,42.0,0.0,,327.0,32.8,,1017.0,,2.0
